Curve,Volatility,Return
Frontier_No_SF,0.06585778773730468,0.05752422563919467
Frontier_No_SF,0.06636423376717755,0.061846110704108566
Frontier_No_SF,0.06787974329446671,0.06616799624972482
Frontier_No_SF,0.0703230962589825,0.07048988179839027
Frontier_No_SF,0.07346345511962375,0.07481176734347174
Frontier_No_SF,0.0772345962482532,0.07913365287869883
Frontier_No_SF,0.0815500413047319,0.08345553841896705
Frontier_No_SF,0.08632708529763507,0.08777742395528543
Frontier_No_SF,0.09149321255915212,0.09209930953192746
Frontier_No_SF,0.09692619608689006,0.09642119505778883
Frontier_No_SF,0.1026691021111767,0.10074308058983059
Frontier_No_SF,0.10864044104439095,0.10506496612611667
Frontier_No_SF,0.11482220332741928,0.10938685170118662
Frontier_No_SF,0.12113207122127156,0.11370873722129402
Frontier_No_SF,0.12759863207934602,0.11803062278032435
Frontier_No_SF,0.1341841534190434,0.12235250829463956
Frontier_No_SF,0.1408719524558488,0.12667439383693008
Frontier_No_SF,0.1476481316035947,0.13099627937335956
Frontier_No_SF,0.15450106271662725,0.13531816494573592
Frontier_No_SF,0.16142097075499848,0.13964005048528083
Frontier_No_SF,0.16840911436493528,0.14396193602918944
Frontier_No_SF,0.1763132141151428,0.14828382154083372
Frontier_No_SF,0.18554831234632593,0.15260570712256083
Frontier_No_SF,0.1959262870361128,0.15692759266467177
Frontier_No_SF,0.2072755427963915,0.16124947814534266
Frontier_No_SF,0.2194454339885812,0.16557136375376713
Frontier_No_SF,0.23230702379759666,0.169893249298192
Frontier_No_SF,0.24575173445875126,0.17421513474883288
Frontier_No_SF,0.25968901401529754,0.1785370203940569
Frontier_No_SF,0.2740437188745701,0.18285890592656337
Frontier_No_SF,0.28875360177387893,0.1871807913630037
Frontier_No_SF,0.3037670693654108,0.19150267690219247
Frontier_No_SF,0.31904126674075345,0.19582456267813977
Frontier_No_SF,0.3345404817422846,0.20014644824678335
Frontier_No_SF,0.35023484208697525,0.20446833366566997
Frontier_No_SF,0.3660992529676784,0.20879021935766573
Frontier_No_SF,0.3821125326719997,0.2131121047419143
Frontier_No_SF,0.3982567258933435,0.2174339902988786
Frontier_No_SF,0.4145165355515222,0.22175587566595517
Frontier_No_SF,0.4308788749277289,0.226077761373787
Frontier_No_SF,0.4473324922557659,0.23039964710681599
Frontier_No_SF,0.4638677462007335,0.2347215324758682
Frontier_No_SF,0.48049380203205694,0.23904341784619706
Frontier_No_SF,0.49721469745100183,0.24336530340920418
Frontier_No_SF,0.5140211774146293,0.24768718918201083
Frontier_No_SF,0.5309051117453595,0.2520090745352184
Frontier_No_SF,0.5478593422105751,0.25633096019668994
Frontier_No_SF,0.5648775373724617,0.2606528456612328
Frontier_No_SF,0.5819540865888825,0.26497473118217746
Frontier_No_SF,0.5990839998768318,0.2692966167652246
Frontier_With_SF,0.040248761829984596,0.0844639775180355
Frontier_With_SF,0.04055739190108149,0.0882360721907203
Frontier_With_SF,0.04137664115987498,0.09200816687253953
Frontier_With_SF,0.04261518572406626,0.09578026154519982
Frontier_With_SF,0.044327595481725095,0.09955235622988966
Frontier_With_SF,0.04645224007539091,0.10332445090923674
Frontier_With_SF,0.04898216772852176,0.10709654559028554
Frontier_With_SF,0.05361341702357035,0.11086864026249948
Frontier_With_SF,0.06065211323270893,0.11464073493886359
Frontier_With_SF,0.06937367708207938,0.11841282964011669
Frontier_With_SF,0.07928298917842215,0.12218492433722962
Frontier_With_SF,0.08987257498787429,0.1259570191817985
Frontier_With_SF,0.10099215154639125,0.12972911355249672
Frontier_With_SF,0.11246549162235026,0.1335012085421346
Frontier_With_SF,0.12421177330645851,0.13727330301204813
Frontier_With_SF,0.13616120195704381,0.14104539786050022
Frontier_With_SF,0.1482589227849258,0.1448174923018854
Frontier_With_SF,0.16047097412440328,0.14858958700078106
Frontier_With_SF,0.17277254553161084,0.15236168181782508
Frontier_With_SF,0.18514538598435087,0.15613377628786376
Frontier_With_SF,0.19757696819336457,0.15990587112190485
Frontier_With_SF,0.2100587225308999,0.16367796570950413
Frontier_With_SF,0.22258389028327114,0.16745006061694515
Frontier_With_SF,0.23514299270912395,0.17122215534873533
Frontier_With_SF,0.2477303403657446,0.17499424974158556
Frontier_With_SF,0.2603415376979613,0.1787663443758957
Frontier_With_SF,0.2729747914811561,0.18253843931098065
Frontier_With_SF,0.2857767891990183,0.1863105339522126
Frontier_With_SF,0.2988033780210817,0.19008262849022056
Frontier_With_SF,0.31204964899307697,0.19385472315614088
Frontier_With_SF,0.3254790258698359,0.19762681789043327
Frontier_With_SF,0.339069752168566,0.20139891251393444
Frontier_With_SF,0.3528031826080004,0.20517100725894258
Frontier_With_SF,0.3666632814713623,0.20894310182415282
Frontier_With_SF,0.3806362128656192,0.21271519649686363
Frontier_With_SF,0.3947099941255538,0.21648729130011182
Frontier_With_SF,0.4088742104449196,0.22025938596928615
Frontier_With_SF,0.4231197803138309,0.22403148065579892
Frontier_With_SF,0.437438755646626,0.22780357532810575
Frontier_With_SF,0.4518241569518548,0.23157566984058497
Frontier_With_SF,0.46627056251665144,0.23534776469602212
Frontier_With_SF,0.4807887504108209,0.23911985921681006
Frontier_With_SF,0.49537903070676437,0.24289195391300863
Frontier_With_SF,0.510035216330731,0.24666404871715303
Frontier_With_SF,0.5247517845965303,0.2504361434763207
Frontier_With_SF,0.5395237940989279,0.2542082381275425
Frontier_With_SF,0.5543468131416072,0.25798033278541044
Frontier_With_SF,0.5692168565015836,0.2617524273968904
Frontier_With_SF,0.5841303333029686,0.2655245220588542
